b	/bi:; bi/	abbr.|指铅笔心）黑色色重的（因质软之故）|
burst	/b\:st; b[st/	v.|使某物）爆炸；胀破；爆破|
burst into		v.|突然闯入；突然发作|
burst into laughter		v.|突然大笑|
burst into tears		v.|突然大哭|
burst out laughing		v.|放声大笑|
bury	/5berI; bZrI/	v.|将（尸体）土葬；海葬|
bus	/bQs; bQs/	n.|公共汽车|
busby	/5bQzbI; bQzbI/	n.|轻骑兵、枪炮手等在阅兵等场合所戴的）高皮帽|
buses		n.|公共汽车|
bush	/bUF; bJF/	n.|有几个茎的）灌木|
bushel		n.|蒲式耳|
bushy		adj.|长满灌木的|
business	/5bIznIs; bIznIs/	n.|日常工作；职业|
busk	/bQsk; bQsk/	v.|在公共场所卖艺（尤指演奏乐曲）|
buss		n.|接吻|
bust	/bQst; bQst/	n.|半身雕塑像（包括头、肩、胸）|
busty		adj.|乳房大的|
busy	/5bIzI; bIzI/	adj.|忙的；正做（某事）的；忙於（某事）的|
but	/bQt, also bEt; bQt, bEt/	conj.|但是；prep.|除了|
butch	/bUtF; bJtF/	adj.|常作义；指女子）（外貌和行为）男性化的|
butcher		n.|屠夫|
buteo		n.|[鸟]鵟(宽翼,高翔,捕食啮齿动物)|
butt	/bQt; bQt/	n.|大酒桶|
butte		n.|孤立的丘|
butter		n.|黄油|
butter someone up		v.|拍马屁|
butterfly		n.|蝴蝶|
button		n.|纽扣|
butty		n.|伙伴|
butut		n.|布图(冈比亚辅币名)|
butyl		n.|丁基|
buxom	/5bQksEm; bQksEm/	adj.|通常作义；尤作戏谑语；指女子）健美而丰满的；乳房突出的|
buy	/baI; baI/	v.|买；购买|
buy off		v.|收买|
buy out		v.|买断|
buy time		v.|争取时间|
buyer		n.|购买者|
buzz	/bQz; bQz/	v.|作嗡嗡声|
bva		|British Veterinary Association 英国兽医协会|
bvds		|<美>(一套)内衣|
bvi		|British Virgin Islands|
bvm		|Blessed Virgin Mary[宗]圣母马利亚|
bwr		|boiling water reactor[核]沸水堆|
bx		|base exchange|
by	/baI; baI/	prep.|通过；被；在……旁边|
by accident		adv.|偶然|
by air		adv.|乘飞机|
by all means		adv.|务必；当然|
by and by		adv.|不久|
by bus		adv.|乘公共汽车|
by car		adv.|乘汽车|
by chance		adv.|偶然|
by day		adv.|在白天|
by degree		adv.|逐渐|
by dint of		prep.|凭借|
by faith		adv.|靠信仰|
by far		adv.|……得多|
by force		adv.|用武力|
by hand		adv.|用手|
by heart		adv.|凭记忆|
by hook or by crook		adv.|不择手段|
by land		adv.|由陆路|
by law		adv.|依法|
by letter		adv.|通过书信|
by mail		adv.|邮寄|
by means of		prep.|通过|
by mistake		adv.|错误地|
by nature		adv.|天生|
by night		adv.|在夜间|
by no means		adv.|决不|
by oneself		adv.|独自|
by phone		adv.|通过电话|
by plane		adv.|乘飞机|
by post		adv.|邮寄|
by radio		adv.|通过无线电|
by sea		adv.|由海路|
by ship		adv.|乘船|
by telephone		adv.|通过电话|
by the dozen		adv.|成打|
by the end of		prep.|到……末|
by the side of		prep.|在……旁边|
by the time		conj.|到……的时候|
by the way		adv.|顺便说|
by the year		adv.|按年|
by then		adv.|到那时|
by train		adv.|乘火车|
by turns		adv.|轮流|
by virtue of		prep.|凭借|
by way of		prep.|经由；作为|
bye	/baI; baI/	n.|体|
bylaw		n.|次要法规|
byo		|bring your own 自带酒或食物|
byob		|bring your own booze(或bottle)(用于宴会请柬上等)请自带酒来|
byobu		|<日>|
bypass		n.|旁路|
byr		|billion years 十亿年|
byrd		|Land=Marie Byrd Land|
byre		n.|牛栏|
byron		n.|拜伦(m.)|
byte	/baIt; baIt/	n.|计；字节；位组|
bytom		|比托姆[波兰中南部城市]|
byway	/5baIweI; baI9we/	n.|大路和小路|
